Post_ID,Ticker,Title,Body,Post_Date,Upvotes,Num_Comments
9d850a8d-485b-4ec2-ac46-bcb3a9bd0b1d,BA,Boeing's 737 Max Production Surge Boosts Shares Amid China Delivery Resumption,"Boeing Co (NYSE:BA) saw its shares climb by 3.14% to $207.86 during Thursday’s trading session. This uptick followed the company’s presentation at the Bernstein Strategic Decisions Conference, where Boeing outlined its ambitious plans to ramp up production of the 737 Max to 47 units per month by…",2025-05-29,,
035c4f7a-c524-48e2-8b9f-860a6d73e625,BA,Why Boeing Stock Just Popped,"In This Article:
Key Points
-
Boeing is seeking certification of its 737 MAX 7 and 737 MAX 10 models.
-
The company plans to increase 737 MAX production rates in a few months, then increase them again next year.
-
Boeing's plans imply near-term revenue growth of as much as 24% from its most…",2025-05-29,,
441c6019-7c7e-41b2-bad5-602a742ecdd5,BA,With Many Upcoming Trade Agreements….INVEST TO WIN!,"Key Points
 
 
 
 
Qatar and the UK placed orders of over $100 billion with Boeing
 
 
 
The US could export nearly 600,000 more cars to the EU, to match European Imports
 
 
 
The US should be delivering huge quantities of natural gas to Europe and Asia
 
 
 Are you ahead, or behind on…",2025-05-29,,
73d1d798-1196-4843-abd4-2d3fe63baa81,BA,"Boeing CEO Kelly Ortberg Targets Year-End Certification For 737 MAX-7, MAX-10 Amid FAA Scrutiny, Says Variants Are 'Very Important' To Customers And Backlog","Boeing Co. (NYSE:BA) CEO Kelly Ortberg said that the company aims to complete certification of its delayed 737 MAX-7 and MAX-10 variants by year-end, marking a critical milestone for the aerospace giant’s commercial recovery strategy.
What Happened: Speaking to Aviation Week at Boeing’s Renton,…",2025-05-29,,
e9673dc9-abd3-4a37-bd4c-383e590d6d51,BA,Jim Cramer Calls The Boeing Company (BA) “an Up Stock”,"In This Article:
We recently published a list of Jim Cramer Had These 21 Stocks on His Radar. In this article, we are going to take a look at where The Boeing Company (NYSE:BA) stands against other stocks that Jim Cramer discusses.
A caller asked what Cramer thinks of The Boeing Company (NYSE:BA),…",2025-05-27,,
f4e9469d-2cc3-42f7-b0d0-6bd96079ea1d,BA,S&P 500 INDEX (SPX) Live: Market Gains Unleashed on EU Tariff Tailwinds,"Live Updates
 Live Coverage
 Updates appear automatically as they are published.
 
Boeing Weighs on Business Orders 
 10:02 am
 by Gerelyn Terzo 
 
Durable goods orders fell 6.3% last month, a softer drop than economists had predicted. However, this dip follows four consecutive months of…",2025-05-27,,
ff14038c-6a33-4bb5-895b-6f9e05cc7eb0,BA,S&P 500 (NYSEARCA: SPY) Live: Markets Upbeat on EU Tariff Surprise and Resilient Economy,"Live Updates
 
 Live Coverage
 Updates appear automatically as they are published.
 
 
 
 
 
 
Business Orders Soften
 
 
 10:30 am
 by Gerelyn Terzo
 
 
 
 
Durable goods orders posted a 6.3% decline last month, a softer drop than economists had predicted. However, this dip follows four…",2025-05-27,,
b9cd088f-269a-49db-a5c2-c4c565e6c22e,BA,Live Nasdaq Composite: Market Optimism Returns Amid EU Tariff Delay,"Live Updates
 
 Live Coverage
 Updates appear automatically as they are published.
 
 
 
 
 
 
Durable Goods Orders Reverse
 
 
 9:55 am
 by Gerelyn Terzo 
 
 
 
 
Durable goods orders fell 6.3% last month, a narrower decline than economists had anticipated but on the heels of four straight…",2025-05-27,,
6a99b1f2-06d4-4d9d-8909-ab38eb1d4494,BA,Meghan Markle’s Heartfelt Gesture Delights American Airlines Crew,"FORT WORTH- American Airlines (AA) recently had a royal experience onboard one of its flights when Meghan Markle, also known as the Duchess of Sussex, traveled from Los Angeles to New York (JFK).
The cabin crew, based at Los Angeles International Airport (LAX), left a handwritten note for Markle,…",2025-05-25,,
8f0ffd3f-25b9-444e-a319-1da1122857e1,BA,DOJ Offers Boeing Deal To Avoid Criminal Charges Over 737 Max Crashes,"The U.S. Justice Department has offered Boeing Co. (NYSE:BA) a deal to avoid criminal prosecution over the two fatal 737 Max crashes that killed 346 people, reigniting scrutiny over the company’s accountability and safety practices.
What Happened: On Friday, the DOJ announced a proposed agreement…",2025-05-23,,
67c23d9a-8f78-44bd-94fa-fda748c3fffe,BA,Trump's Chosen Air Force One Contractor L3Harris To Pay $62 Million As Settlement For Misleading US Military,"Defense contractor L3Harris Technologies (NYSE:LHX) has agreed to pay $62 million to settle allegations of deceit over equipment pricing sold to the U.S. military. This comes as the company is involved in modifying a luxury Boeing 747 for the new Air Force One.
What Happened: The Justice…",2025-05-23,,
42a5783b-295f-44ac-a801-ea4bc1ae6780,BA,A New Sheriff in Town,"The Secretary of Education has notified defaulted debtors; their loan payments are due May 5. Linda McMahon has sent four messages in one:
- Students are responsible for their loan. Pay now or set up a plan.
- There is no loan forgiveness (write-offs) coming.
- Involuntary collections will begin…",2025-05-23,,
21ea0e29-8b52-42f9-ab41-34c98deaef77,BA,Student Loans: A New Sheriff in Town,"The Secretary of Education has notified defaulted debtors; their loan payments are due May 5. Linda McMahon has sent four messages in one:
- Students are responsible for their loan. Pay now or set up a plan.
- There is no loan forgiveness (write-offs) coming.
- Involuntary collections will begin…",2025-05-23,,
95abce64-54fa-4b10-8b18-fe9687939b56,BA,"Diversified-Land Portfolio: Alico President & CEO John Kiernan, Live at Nasdaq","In This Article:
IPO Edge hosted a fireside chat on May 20 at Nasdaq MarketSite with John Kiernan, President and Chief Executive Officer of Alico, Inc. (Nasdaq: ALCO). The in-person interview was joined by Editor-at-Large Jarrett Banks and they discussed the company’s strategic transformation to…",2025-05-22,,
98c03afe-9c71-4b49-b7f8-b5eb0d0563cc,BA,"Futures, Treasuries Slide After ""Big, Beautiful Bill"" Passes","Futures, Treasuries Slide After ""Big, Beautiful Bill"" Passes
 
US stocks and treasuries sold off after President Trump’s signature tax bill passed the House by the narrowest of margins (214-215), sparking fears that the surging deficit - already at a nosebleed 6.5% of GDP - necessary to fund the…",2025-05-22,,
4c0bfb4e-c1b1-48eb-9484-3701054fda73,BA,Boeing Speeds Up 737 Manufacturing as Safety and Quality Standards Rise,"In This Article:
Doug Ackerman, VP of Quality at The Boeing Company (NYSE:BA) Commercial Airplanes, stated that the company intends to stabilize 737 MAX production at 38 airplanes per month.
A commercial jetliner parked at an airport, reflecting the companies success in aviation.
This follows a…",2025-05-22,,
6afa0759-76a2-49a3-a4d7-949133035ab2,BA,"Bernstein Maintains Outperform Rating on Boeing (BA), Lifts PT","In This Article:
On May 20, Bernstein lifted the price target on The Boeing Company (NYSE:BA) stock to $249 from $218 and maintained an Outperform rating.
Analyst Douglas Harned raised the price target following the company’s recent developments. The major move was China resuming airline delivery…",2025-05-21,,
ee7eb7d8-125f-4c12-97fc-acab0db07253,BA,Mali’s literacy project taught thousands of young people to read and write. Trump’s USAID cuts shut it all down,"For Aminata Doumbia, an 18-year-old Malian, the “Shifin ni Tagne” project was a path for her life dreams. A phrase meaning “our future” in the country’s main local language, it refers to a yearslong program aimed at teaching around 20,000 young Malians to read and write in their local…",2025-05-21,,
6f180ba9-75a8-4c8e-9336-5013928fe2fe,BA,From Monaco To Mexico: The Countries Where The Most Billionaires Live,"Key Points
 
 
 
 
The latest Forbes data shows the number of billionaires has nearly tripled in the last 15 years.
 
 
 
More than half of all billionaires live in just three countries.
 
 
 
While the largest economies naturally produce the most billionaires, Forbes data reveals some surprising…",2025-05-21,,
99fda6d5-8dcc-4ebd-bd42-4717e8ed0ebf,BA,Investing platform Seeds lands $10m Series A investment,"Fintech company Seeds, previously known as Seeds Investor, has raised $10m in a Series A financing round, led by Portage.
The round also saw ongoing support from investors Social Leverage and Blank Ventures.
Established by a group of financial advisors focused on client-oriented investing, Seeds…",2025-05-21,,
257fde11-394d-417f-a866-1bd6d9dec49c,BA,"Struggling airline restructures debt, plans to exit bankruptcy","As the second-largest airline in Brazil, GOL Linhas Aereas (GOL) filed for bankruptcy in January 2024 after accumulating over $3.8 billion in debt waiting for delayed deliveries of Boeing (BA) aircraft throughout 2023.
In December 2024, a Brazilian bankruptcy judge approved a reorganization plan…",2025-05-20,,
6101697f-c38e-49a7-834f-436ee5e5672d,BA,"Transcript: John Montgomery, Bridgeway Capital Management","The transcript from this week’s, MiB: John Montgomery, Bridgeway Capital Management, is below.
You can stream and download our full conversation, including any podcast extras, on Apple Podcasts, Spotify, YouTube, and Bloomberg. All of our earlier podcasts on your favorite pod hosts can be found…",2025-05-20,,
