Post_ID,Ticker,Title,Body,Post_Date,Upvotes,Num_Comments
40b311df-2d46-4e02-82a5-9a22b14905a5,COP,"Illinois Cops Gave ICE Access to More Than 5,000 Surveillance Cameras Nationwide","A public records request from the Danville, Illinois, police department obtained by 404 Media revealed that local and state police around the country searched automatic license plate reader (ALPR) camera data more than 4,000 times for immigration related reasons between June 1, 2024, and May 5,…",2025-05-29,,
2b75b5bd-6711-40ee-af9d-cddf09ea2c82,COP,Jake Tapper Slams 'Left-Wing' Podcast for Joke About Son Wanting to Be Cop,"Voice is AI-generated. Inconsistencies may occur.
CNN anchor Jake Tapper recently pointed to a joke made by a left-leaning podcast host about his teenage son wanting to become a police officer—not as a laugh line, but as a telling sign of why Democrats are losing voters.
Speaking on The Prof G Pod…",2025-05-29,,
d569d390-b156-4021-ad23-146c6ac8c807,COP,"Mom Arrested, Facing 5 Years in Prison for Leaving 8- and 10-Year-Old Boys at Home","Alexandra Woodward, a mother of 8- and 10-year-old boys in Calhoun, Georgia, has been charged with cruelty to children in the first degree. If found guilty, she faces a minimum of five years in prison. Her crime? Letting her kids stay home alone for a few hours. They were fine. 
Here's what…",2025-05-29,,
fc4bdc3f-e453-436f-9255-e9ba87d153cc,COP,Matthew Goode is both good and bad cop in 'Dept. Q',,2025-05-29,,
d7bcf464-b816-49d4-b3c5-1c5ee56b44a6,COP,"Trump Deletes Database Containing Over 5,000 Police Misconduct Incidents","In one of his first acts after returning to the White House, President Donald Trump ordered the Justice Department to delete a nationwide database tracking misconduct by federal law enforcement. 
Along with rescinding former President Joe Biden's executive orders on policing, Trump scrapped the…",2025-05-29,,
e9d19635-3d2b-4692-8fd5-ac0c0d70978c,COP,Are New York’s Subway Cops Doing Anything?,,2025-05-28,,
15bf009d-37c0-4113-8698-b1f38264a781,COP,Jonathan Nolan's Person of Interest predicted AI. Westworld is helping build it,"The Scene
Americans in the years 2011 to 2016 — not the coastal media types watching Girls or Silicon Valley on HBO, but the 10 million-plus watching CBS Thursday nights — were exposed to a tutorial on the emerging field of artificial intelligence.
Consider some Person of Interest plot points in…",2025-05-28,,
8c907ecc-1d25-467d-90ca-9aa6c448380f,COP,"Lawrence Wright: America's Misadventures in Wars, Cults, and Panics","Today's guest is the legendary journalist and New Yorker staffer Lawrence Wright. He is the author of Going Clear: Scientology, Hollywood, and the Prison of Belief; The Looming Tower: Al Qaeda and the Road to 9/11; and The Plague Year: America in the Time of Covid. 
Wright talks with Reason's Nick…",2025-05-28,,
5e4abf3e-791b-4362-b187-b78ce95073f5,COP,12 Undervalued Energy Stocks To Buy Today,"Energy stocks appeal to investors for a few different reasons:
- Energy stocks tend to perform independently of other types of stocks, so investors buy them to diversify their portfolios.
- Many energy stocks offer attractive yields and therefore appeal to investors who like high-dividend…",2025-05-28,,
035a8ef6-809f-4843-bf4e-45eca60644c4,COP,"What's Behind Chicago's Welcome, But Belated, Drop In Crime?","What's Behind Chicago's Welcome, But Belated, Drop In Crime?
 
Authored by Ted Dabrowski and John Klingner via Wirepoints.org,
Mayor Brandon Johnson is celebrating a drop in crime in Chicago. Murders are down 22% in 2025 over the same period last year, and so is overall violent crime. The drop…",2025-05-27,,
