Post_ID,Ticker,Title,Body,Post_Date,Upvotes,Num_Comments
c6d6c559-3a46-4f48-833c-782df5a275d7,DNA,"Bongino Claims New Video Evidence Will Prove Epstein Suicide, And 'Bags' Of Improperly Stored Comey-Era Evidence Found","Bongino Claims New Video Evidence Will Prove Epstein Suicide, And 'Bags' Of Improperly Stored Comey-Era Evidence Found
 
Almost two weeks ago, FBI Director Kash Patel and his deputy Dan Bongino insisted that pedophile financier Jeffrey Epstein definitely committed suicide...
Let's revew:
NEW: Kash…",2025-05-29,,
ff4a96b6-1dc6-46c0-b9e5-ba48e31a387e,DNA,Valterra Platinum begins trading on Johannesburg bourse after separating from Anglo American,"Valterra Platinum, a miner of platinum by value, marked its entry on the Johannesburg Stock Exchange (JSE) as an independent entity on Wednesday, according to a Reuters report.
This move finalised the spin-off from its former parent company, Anglo American.
The demerger of the Johannesburg-based…",2025-05-29,,
c19e840b-be31-418b-88c0-e53ffdf715bb,DNA,Gen Z is bringing back tanning and ignoring the dangerous cancer risk,"London Kolkana is an avid tanner, and she wants you to be one, too. That’s why, on TikTok, she shares tips—sit in a beach chair instead of lying on a towel, use a $40 accelerating tanning oil followed by a spray of 15 SPF sunblock, and make sure to be in the sun between noon and 1:30, when the UV…",2025-05-29,,
05e07619-2c27-43bb-ba10-90f90bdd7865,DNA,Another “AI Moment” Just Happened,"AI is reshaping hospitals… predictions from 2020, and where we are now… most people aren’t ready for AI… Luke Lango’s AI indices… Louis Navellier’s latest tech picks
You’re sitting on the exam table.
The doctor greets you, listens closely as you explain your symptoms, asks thoughtful…",2025-05-28,,
76ae3023-7e9f-4a07-8339-4d60a1a5870c,DNA,"New Details on Kid Cudi Break-In, Car Fire Emerge at Diddy Trial","Voice is AI-generated. Inconsistencies may occur.
A Los Angeles Police Department officer testified Wednesday that he saw a Cadillac Escalade belonging to Sean ""Diddy"" Combs' production company at Kid Cudi's house.
Chris Ignacio, a 16-year veteran of the LAPD, took the stand in Combs' ongoing sex…",2025-05-28,,
4ba189c4-441b-4797-bf68-a4bbd06cec31,DNA,"World's Largest Platinum Miner Debuts Into Tight Supply, Soaring Prices","Valterra Platinum (OTCPK: AGPPF) made its trading debut on the Johannesburg Stock Exchange today, officially separating from Anglo American (OTCQX:AAUKF). The company, formerly Anglo American Platinum, is now a standalone entity and the world's largest platinum miner by value.
""Part of our DNA is…",2025-05-28,,
a0bede09-b60f-4f5a-9e09-d3d2864233d7,DNA,"Barclays Upgrades Burberry (BURBY) to Equal Weight, Raises PT as Brand Concerns Ease","In This Article:
On Tuesday, Barclays analyst Carole Madjo upgraded Burberry Group (OTC:BURBY) to Equal Weight from Underweight, and increased its price target from 720 GBp to 1,000 GBp. This shift reflects a decrease in Barclays' concerns regarding the potential dilution of Burberry's brand…",2025-05-28,,
3572dd4a-89e0-4006-b639-f67668b68a04,DNA,"Lawrence Wright: America's Misadventures in Wars, Cults, and Panics","Today's guest is the legendary journalist and New Yorker staffer Lawrence Wright. He is the author of Going Clear: Scientology, Hollywood, and the Prison of Belief; The Looming Tower: Al Qaeda and the Road to 9/11; and The Plague Year: America in the Time of Covid. 
Wright talks with Reason's Nick…",2025-05-28,,
b7a0d996-a1f1-4362-8484-ec30da02d449,DNA,What Cat Does When She Realizes Woman Is Pregnant Melts Hearts,"Voice is AI-generated. Inconsistencies may occur.
A cat's tender response to a pregnant woman has captivated hearts online, after a video showing the moment went viral.
Rukayah Megeri (@kyacademy_), 35, from Manchester, UK, shared footage of her sister's cat, Sage, lovingly nuzzling into her…",2025-05-28,,
becd5209-1f31-41a0-9825-102e25aade8c,DNA,"Mom Finds Out She's Pregnant, Unprepared for Triple Twist","Voice is AI-generated. Inconsistencies may occur.
At first glance, you may wonder why this video of triplet boys has gone viral, as they are just lying on the floor. But the text layered over explains that they aren't your average multiples.
Mom Myah Winbush, 31, explains that Harland and Hayes…",2025-05-28,,
6b844a0d-2615-44e0-8fa9-ac460a3011ed,DNA,Did the Fed Achieve Independence During the Korean War?,"War finance is in the Federal Reserve’s DNA. As Ron Paul astutely noted, “It is no coincidence that the century of total war coincided with the century of central banking.” The Fed itself acknowledges that its primary objective during WWI and WWII was to finance the massive spending during these…",2025-05-28,,
