Post_ID,Ticker,Title,Body,Post_Date,Upvotes,Num_Comments
aaa75938-5b0a-4d1f-9cb6-5002ebb3473a,HON,"If You Invested $100 In This Stock 20 Years Ago, You Would Have This Much Today","Honeywell Intl (NASDAQ:HON) has outperformed the market over the past 20 years by 1.54% on an annualized basis producing an average annual return of 9.8%. Currently, Honeywell Intl has a market capitalization of $144.48 billion. 
Buying $100 In HON: If ...
Full story available on Benzinga.com",2025-05-28,,
1ce6e7fe-bce5-4ae9-92a7-e74ce4a9796a,HON,VanEck Launches Europe’s First Only Quantum Computing ETF,"VanEck has launched Europe’s first quantum computing ETF targeting companies involved in the development or application of the technology. The VanEck Quantum Computing UCITS ETF (QNTM) is listed on Deutsche Borse and the London Stock Exchange with a total expense ratio (TER) of 0.55%.
QNTM Tilts…",2025-05-28,,
dfc5b4ff-ff0a-4122-9557-60a6e95ed90b,HON,Nvidia's Blackwell AI Servers Are Back In Production After Key Supply Chain Partners Like Foxconn Fix Overheating Issues: Report,"Nvidia Corp.'s (NASDAQ:NVDA) long-awaited Blackwell AI servers are finally shipping after supply chain partners resolved critical technical issues that had delayed production.
What Happened: Suppliers, including Foxconn, also known as Hon Hai Precision Industry Co. Ltd. (OTC:HNHAF), Inventec Corp,…",2025-05-28,,
e0bea1e6-a3d1-41f6-9053-ab08c63ccee1,HON,"Trump's 25% Tariffs, India Expansion, Trade-In Price Hike, And More: This Week In Appleverse","It was an eventful week for Apple Inc. (NASDAQ:AAPL), with a slew of developments making headlines. From a major expansion in India to a strategic price hike in China, the tech giant has been making some bold moves. Here’s a quick recap of the top stories that unfolded over the weekend.
Apple…",2025-05-25,,
647fc716-0eb1-45d8-893b-cd066585eff3,HON,"Apple Would Rather Absorb A 25% iPhone Tariff Than Move Production To The US, Says Analyst: '...No Guarantee They Won't Face Repeated Tariff Threats During His Term'","On Friday, President Donald Trump demanded that Apple Inc. (NASDAQ:AAPL) manufacture iPhones sold in the U.S. domestically, or face a 25% tariff. Now, top Apple analyst Ming-Chi Kuo said that the company is unlikely to move its assembly lines back to the U.S., even under political pressure.
What…",2025-05-24,,
32cc0e63-dce1-46cb-b21f-cfc844fddc41,HON,Here’s Why Renaissance Large Cap Growth Strategy Exited Its Position in Honeywell International (HON),"In This Article:
Renaissance Investment Management, an investment management company, released its Q1 2025 “Large Cap Growth Strategy” investor letter. A copy of the letter can be downloaded here. The S&P 500 experienced a 4.3% loss in Q1 due to uncertainty in technology stock valuations and US…",2025-05-23,,
dd2c1131-05e8-4bcf-8604-6524eaabc4bf,HON,Nvidia’s New Tech Aims to Maintain its Grip on the AI Market,"Nvidia chief executive Jensen Huang has given clues on how the world’s leading artificial intelligence chip designer plans to maintain its dominance.
Huang, who spent days at the Computex trade fair in Taipei, revelling in a sort of hero status known as ‘Jensanity’, flew out on Friday after…",2025-05-23,,
d1fb46d2-a92c-4817-bdcf-1ecacd5a7af5,HON,Was Jim Cramer Right About Honeywell International Inc. (HON)?,"In This Article:
We recently published a list of 12 Stocks Jim Cramer Was Right About. In this article, we are going to take a look at where Honeywell International Inc. (NASDAQ:HON) stands against other stocks that Jim Cramer discusses.
Back in 2024, on May 15, Mad Money’s Jim Cramer discussed…",2025-05-23,,
3a00d9dd-4eee-448d-b3e4-4e3b25e30245,HON,"Foxconn among potential bidders for Singaporean chip assembly firm UTAC in $3 billion deal, sources say","In This Article:
By Kane Wu
HONG KONG (Reuters) -Taiwan's Foxconn, also known as Hon Hai Precision Industry (2317.TW, HNHPF, HNHAF), is among potential bidders for the Singaporean semiconductor assembly and testing business UTAC Holdings in a deal that could value the company at about $3 billion,…",2025-05-23,,
502410f7-c3a5-4e46-a2c6-8b7460c0fac7,HON,"Despite Trump's Warning To Tim Cook, Apple Moves Ahead With $1.5 Billion India Expansion Via Foxconn To Boost iPhone Production: Report","Apple Inc. (NASDAQ:AAPL) is reportedly pushing forward with a major supply chain expansion in India through its top manufacturing partner, Foxconn, also known as Hon Hai Precision Industry Co. Ltd. (OTC:HNHAF).
What Happened: Foxconn plans to invest $1.5 billion in a new display module plant near…",2025-05-23,,
0077c201-724d-485b-8cf8-6e7241f44b2e,HON,"AI, Chips, Humanoid Robots: Top Takeaways From Computex 2025","AI, Chips, Humanoid Robots: Top Takeaways From Computex 2025
 
Computex 2025 in Taipei, Taiwan, entered its fourth day on Thursday. Tech blog Tom's Guide said the spotlight this week has been on AMD's Radeon RX 9060 XT and Nvidia's RTX 5060 gaming GPUs. Other top highlights include Intel's early…",2025-05-22,,
8e5b832d-10eb-448f-954b-ddbd40d13b90,HON,Honeywell Deepens Renewable Fuels Push With $2.4 Billion Deal,"Honeywell International Inc. (NASDAQ:HON) on Thursday disclosed that it will acquire Johnson Matthey‘s Catalyst Technologies division in an all-cash deal valued at 1.8 billion pounds ($2.4 billion).
The purchase price represents roughly 11 times the projected 2025 EBITDA, factoring in tax…",2025-05-22,,
29d294b7-54dd-4671-93bb-24ff617e36b2,HON,Honeywell International Inc. (HON) Close to Acquiring Johnson Matthey Catalyst Unit,"In This Article:
Honeywell International Inc. (NASDAQ:HON) is close to securing a £1.8 billion ($2.4 billion) deal to acquire Johnson Matthey’s catalyst technologies division, the Financial Times reported on Wednesday.
People familiar with the matter told the British newspaper that the business is…",2025-05-22,,
fa025d62-4269-4049-86a2-f5810e10ee22,HON,$1000 Invested In Honeywell Intl 20 Years Ago Would Be Worth This Much Today,"Honeywell Intl (NASDAQ:HON) has outperformed the market over the past 20 years by 1.51% on an annualized basis producing an average annual return of 9.75%. Currently, Honeywell Intl has a market capitalization of $142.74 billion. 
Buying $1000 In HON: If ...
Full story available on Benzinga.com",2025-05-21,,
