Post_ID,Ticker,Title,Body,Post_Date,Upvotes,Num_Comments
76210402-60f7-4691-abbb-422d3d25f7d1,MRNA,What RFK Jr. Has Said About COVID Vaccines,"Voice is AI-generated. Inconsistencies may occur.
Robert F. Kennedy Jr.'s announcement that the Centers for Disease Control and Prevention will no longer recommend COVID vaccines for ""healthy children and healthy pregnant women"" follows years of spurious and misleading claims he made about the…",2025-05-29,,
2e7f8321-7cbe-4ada-a7ca-ac5343e39960,MRNA,Thursday links: global information networks,"Markets
Bond sentiment has gotten negative. (thesandboxdaily.com)
You think the U.S. has an index concentration problem? (sherwood.news)
Strategy
Global diversification is a strategic decision, not a tactical one. (morningstar.com)
The evidence on active fund manager performance is woeful.…",2025-05-29,,
184a987e-d17d-4626-bce4-32575a8e6bfb,MRNA,US Cancels $700 Million Moderna Bird Flu Vaccine Contract,"US Cancels $700 Million Moderna Bird Flu Vaccine Contract
 
Authored by Jon Fleetwood via Substack,
In what could be a massive shift away from bird flu pandemic orchestration, the Trump administration has canceled its contract with Moderna for developing an avian influenza “bird flu” vaccine for…",2025-05-29,,
aead373b-5872-404c-8b11-27f67c2b2e6a,MRNA,Trump administration cancels $766 million contract with Moderna to develop vaccine against pandemic flu viruses,"The Trump administration has canceled $766 million awarded to drugmaker Moderna Inc. to develop a vaccine against potential pandemic influenza viruses, including the H5N1 bird flu.
The company said it was notified Wednesday that the Health and Human Services Department had withdrawn funds awarded…",2025-05-29,,
807036d6-9e7e-4664-afe8-80b1d988ea78,MRNA,"Trump Administration Terminates $590 Million Moderna Bird Flu Vaccine Deal, Dismantling Biden-Era Pandemic Preparedness Effort","The President Donald Trump administration terminated a nearly $600 million contract to Moderna Inc. (NASDAQ:MRNA) for developing an mRNA-based bird flu vaccine, ending a key former President Joe Biden-era pandemic preparedness initiative.
What Happened: Health and Human Services officials canceled…",2025-05-29,,
d80cd7cc-60c0-4bcc-b6d4-ca3fd998f6dc,MRNA,Little Lost Lambda: How Any Randomized Controlled Trial Or Opinion Poll Could Be Misleading,"Yves here. Terry Flynn, a regular in the comments section and an expert in statistical analysis, has let us publish a critique of a fundamental issue in many regressions, which is omitting lambda. This sort of thing is over my pay grade, so I hope my introduction is not off the mark.
Some esteemed…",2025-05-29,,
44cef63a-1430-4d37-8296-ccf5d12b25a3,MRNA,HHS cancels Moderna's $590M bird flu vaccine award,"The Trump administration canceled a nearly $600 million award to Moderna to develop an mRNA vaccine for bird flu in humans, the company announced Wednesday.
Why it matters: It ends one of the remaining Biden-era efforts aimed at creating vaccines for pandemic preparedness. But the company said it…",2025-05-29,,
a2894316-f06a-4b25-84ea-1c5b8b48d7e7,MRNA,Rogan & Rodgers Unleash Big Pharma's Worst Nightmare..,"Rogan & Rodgers Unleash Big Pharma's Worst Nightmare...
 
Via VigilantFox.com,
When Joe Rogan sat down with Aaron Rodgers, the conversation quickly turned to one of the most polarizing topics in modern medicine: vaccines.
But instead of retreading old ground, they zeroed in on one of the most…",2025-05-27,,
8e33b2f9-cd40-40e6-a636-5e1425c299ca,MRNA,The threat to the NIH,"What is the National Institutes of Health?
It's the largest funder of biomedical research in the world by far and the force behind some of the biggest medical breakthroughs of the 21st century. Begun as a single-room laboratory in a Staten Island hospital in 1887, the NIH has ballooned into a $47…",2025-05-27,,
b86cbe5a-180b-4da8-983f-d9f2768e1ab8,MRNA,Jim Cramer on Moderna (MRNA): “I’ve Been Against This Stock For So Long”,"In This Article:
We recently published a list of Jim Cramer Talked About These 13 Stocks. In this article, we are going to take a look at where Moderna, Inc. (NASDAQ:MRNA) stands against other stocks that Jim Cramer discusses.
A caller asked what Cramer thought of Moderna, Inc. (NASDAQ:MRNA), and…",2025-05-26,,
