Post_ID,Ticker,Title,Body,Post_Date,Upvotes,Num_Comments
9f06645b-ac98-4b61-8477-eba53776b1a5,MS,Price Over Earnings Overview: Morgan Stanley,"In the current session, the stock is trading at $128.20, after a 0.54% increase. Over the past month, Morgan Stanley Inc. (NYSE:MS) stock increased by 9.34%, and in the past year, by 30.49%. With performance like this, long-term shareholders are optimistic but others are more likely to look into…",2025-05-29,,
d07783b0-b2ee-4574-911a-6e698ca7dcd8,MS,"With 72% Of The World Now Living In Autocracies, These Are The Countries Democratic Backsliding The Most","While the history books are still being written, 2024 was an incredibly pivotal year in world events. More than two billion people voted in elections in over 60 countries, setting an historical record in election activity. The polls sent a collective message of frustration into the universe, as…",2025-05-29,,
df723e0f-8655-40ca-bf8b-0b65dbb63848,MS,"From newsroom to tech platform, Erin Millar aims to redefine local journalism","Erin Millar never set out to build a technology company. But over the past 11 years, the Vancouver journalist has steered Discourse Media through a dramatic transformation, from a single local newsroom to a tech platform powering independent journalism across North America.
“I was motivated to be…",2025-05-29,,
084cbfde-0e9d-430c-9e87-7db0b74351ec,MS,Nashville Mayor Faces Probe On Cooperation With ICE On Illegals,"By Jacob Adams, The Daily Signal | May 27, 2025
Rep. Andy Ogles, R-Tenn., is spearheading an effort to ensure the Nashville city government in his state is cooperating with federal immigration enforcement.
Nashville is the state capital as well as the most populous city of Tennessee with a…",2025-05-29,,
f4c46c8c-d97e-48f1-926a-5fa4a452de02,MS,DEI Enthusiasts Allowed The Free Palestine Movement To Get This Far,"By Victor Davis Hanson, The Daily Signal | May 27, 2025
Hello, this is Victor Davis Hanson for The Daily Signal. Recently, two Israeli diplomatic employees in Washington, Yaron Lischinsky and Sarah Milgrim, were shot.
Apparently, the killer, Elias Rodriguez, emptied his handgun and fired off 21…",2025-05-29,,
19945fe5-da87-40e2-94b2-89c95baab8df,MS,I have invested in dividends for 25 years—Here’s why these dividend kings are still unmatched,"Key Points
 
 
 
 
Investors should concentrate on consistent dividend payers with strong financial data.
 
 
 
Revenue growth can be a good sign that a company’s dividend is safe.
 
 
 
Are you ahead, or behind on retirement? SmartAsset’s free tool can match you with a financial advisor in…",2025-05-29,,
32068e08-8930-4521-bc21-a3df2713c20e,MS,A Carta exec's resignation letter accused the CEO of sexism. She says she didn't write it,"Carta CEO Henry Ward.
Arantza Pena Popo/Insider
A 2022 resignation letter from Preeti Kaur said Carta CEO Henry Ward showed ""disdain"" toward her.
She disavowed the letter, saying she was influenced by Carta's ex-CTO Jerry Talton and his lawyers.
Carta has faced multiple gender bias claims. It…",2025-05-29,,
7c77fb8c-573b-4f05-b17c-dc48340c6425,MS,UK Rail Station Volunteer Ousted For Wrongthink Over 'Pride' Train... And He Is Gay,"UK Rail Station Volunteer Ousted For Wrongthink Over 'Pride' Train... And He Is Gay
 
Authored by Steve Watson via Modernity.news,
A volunteer has been banned from a railway charity scheme in the UK after he asked a basic question regarding a train that had been wrapped in ‘Pride’ colours.
The…",2025-05-29,,
3d3ab2bc-cb5c-46af-9588-b10447196f9f,MS,Free yoga sessions held for people in north Devon,"Free yoga sessions held for people in north Devon
A community group in north Devon is hoping to get people active and improve their mental well-being with free yoga sessions.
The Community Yoga Project started running the sessions earlier this year and now has 250 members.
Hannah Shackleton…",2025-05-29,,
e8328cd7-e57f-47fd-a55a-01044f595816,MS,Rhode: Hailey Bieber's makeup brand sold to e.l.f. in $1bn deal,"Hailey Bieber's makeup brand sold to e.l.f. in $1bn deal
Model Hailey Bieber is selling her make-up brand Rhode to e.l.f. Beauty in a deal worth up to $1bn (£740m).
The 28-year-old, who is married to singer Justin Bieber, co-founded the line of skincare products, which includes blush and lip…",2025-05-29,,
670334fc-a96b-441d-9e28-74c161e6cf84,MS,Chile's salmon farms hope for calmer waters,"Chile's salmon farms hope for calmer waters
Chile is the world's second-largest exporter of farmed salmon, and the biggest supplier to the US. In the south of the country a dispute continues over the large number of salmon farms that are located in supposedly protected areas.
The port city of…",2025-05-28,,
d7e312cf-c11b-4bdb-82ad-660e698c3b95,MS,Skittles-maker Mars phases out controversial colour additive,"Mars phases out controversial colour additive in Skittles
Skittles in the US are no longer being made with titanium dioxide, a colour additive that was banned in the European Union in 2022 over possible health risks.
Sweets giant Mars said it had stopped using the ingredient in its US Skittles…",2025-05-28,,
32804ddc-1054-493f-a321-1751b58fe514,MS,"After a decade-long battle in court, Harvard University has agreed to release 175-year-old ‘daguerrotypes’ that might be the earliest depictions of slaves in America","Harvard University will relinquish 175-year-old photographs believed to be the earliest taken of enslaved people to a South Carolina museum devoted to African American history as part of a settlement with one of the subjects’ descendants.
The photos of the subjects identified by Tamara Lanier as…",2025-05-28,,
650c9994-5485-48ed-9d93-a73039984ef4,MS,Blemish treatment: Old oil paintings are suffering from chemical “acne”,"Old oil paintings are suffering from chemical “acne”
Conservators are scrambling to rescue them
WHEN AN OIL painting is dried and finished, it is supposed to stay that way. Yet when Ida Bronken, an art conservator, began to prepare Jean-Paul Riopelle’s “Composition 1952” for display in 2006, she…",2025-05-28,,
