Post_ID,Ticker,Title,Body,Post_Date,Upvotes,Num_Comments
a37e8cc4-970a-4c8f-ad5d-bd37ebd7492f,RTX,"Nvidia debuts a native GeForce NOW app for Steam Deck, supporting games in up to 4K at 60 FPS; in testing, the app extended Steam Deck battery life by up to 50%","NVIDIA's GeForce NOW has rapidly become my favorite cloud gaming service, as it dramatically outperforms Xbox's own cloud platform. Today, following up on NVIDIA's promise earlier this year, you can download NVIDIA GeForce NOW on your Steam Deck as a native app built for SteamOS, and stream the…",2025-05-29,,
16e9c1bf-65ea-49ff-a64c-214ec1b2bd01,RTX,Silicon Valley's military ambitions,"Silicon Valley is ""finally getting its chance"" to sell its vision to the Pentagon, said Paolo Confino in Fortune. Last month, President Trump signed several executive orders to ""streamline how the Department of Defense acquires new defense systems,"" putting pressure on existing contractors whose…",2025-05-28,,
d1802e17-4f23-404b-adef-cac769f070df,RTX,RTX CEO said Pratt & Whitney strike will impact quarterly cash,,2025-05-28,,
c0195808-81f4-4761-8277-8d6aaf65392f,RTX,Legendary Billionaire Israel Englander Loaded Up on Quantum Computing Stock D-Wave (QBTS),"Key Points
 
 
 
 
Israel Englander, the billionaire founder and CEO of Millennium Management is one of the world’s most successful hedge fund managers.
 
 
 
Quantum computing will be a massive game-changer. With it, the world may be able to solve problems far too complex for typical computers…",2025-05-28,,
89fd69bb-766a-4f6d-abe1-368c43894b8e,RTX,"Nvidia reports H20 sales of $4.6B in Q1 but says it was unable to ship $2.5B of chips due to new export rules, and it expects a loss of $8B in H20 revenue in Q2","Nvidia, the AI and graphics chip company driving societal changes with AI, reported revenue for the first quarter ended April 27, 2025, was $44.1 billion, up 12% from the previous quarter and up 69% from a year ago.
On April 9, 2025, the U.S. government told Nvidia that a license is required for…",2025-05-28,,
12d1f352-b20a-42e8-802a-d3fcbd6e085b,RTX,Striking workers approve latest contract offer from at RTX's Pratt & Whitney,,2025-05-27,,
2917bd00-3823-4693-882c-b98be5aacc3d,RTX,Striking workers approve second contract offer from RTX's Pratt & Whitney,,2025-05-27,,
adf37287-29eb-4a06-918f-e9b5fd2c127f,RTX,"After Jensen Huang Criticized US Export Curbs, Nvidia Set To Launch Cheaper Blackwell AI Chip For China Amid Market Share Slide: Report","Nvidia Corp. (NASDAQ:NVDA) will launch a significantly cheaper artificial intelligence chip for China’s market, priced between $6,500 and $8,000, as the company adapts to ongoing U.S. export restrictions that have decimated its Chinese market share.
What Happened: The new graphics processing unit,…",2025-05-26,,
d9f00182-dccb-45c6-86c8-ef03216e0369,RTX,Nvidia ‘Plans Low-Cost Blackwell AI Chip For China’ After US Curbs,"US tech giant Nvidia plans to mass produce a new artificial intelligence chip for China next month, according to sources, who said it would be priced well below its recently restricted H20 model.
Two sources told Reuters the graphics processing unit (GPU) would be part of Nvidia’s latest…",2025-05-26,,
9deef193-436a-44fd-8e7d-9f6e674dc070,RTX,"to Launch Cheaper Blackwell AI Chip for China, Says Report","In This Article:
NVIDIA Corporation (NASDAQ:NVDA) is set to launch a new AI chipset for China amid U.S. export curbs, Reuters reported on Saturday, with mass production likely to begin as early as next month.
The GPU will be part of NVIDIA Corporation (NASDAQ:NVDA)’s Blackwell-architecture AI…",2025-05-25,,
