Post_ID,Ticker,Title,Body,Post_Date,Upvotes,Num_Comments
2d3e0c10-6db5-4ee2-98e3-96be8c2d4c69,ZS,Earnings: Complete Live Coverage Today,"Live Updates
 Live Coverage
 Updates appear automatically as they are published.
 
High Expectations But Federal and Macro Worries Remain 
 12:02 pm
 by Joel South 
 
Zscaler’s recent commentary focused on success with federal accounts and growing contract sizes in large enterprise segments.…",2025-05-29,,
0f4229aa-2fb2-4d8d-8d8b-a0e746d0c09a,ZS,Here’s why Gen Z would rather go to ChatGPT for career advice instead of their own manager,"Good morning!
It’s no secret that young workers are relying more and more on large language models like ChatGPT to assist them in their day-to-day roles. But a new survey shows that their reliance on this tech goes beyond just straightforward help with everyday office tasks. 
Around 51% of Gen Z…",2025-05-28,,
e3bd51d4-2091-49ec-bb98-cd07b82f1b62,ZS,Tony Nominee Darren Criss on the 'Miracle' That Is 'Maybe Happy Ending',"Voice is AI-generated. Inconsistencies may occur.
""I always like to say that the victory is in the conversation.""
Darren Criss is an Emmy-winning actor, but deep down he's a musical theater nerd. Which is why he's so proud to be part of this year's Tony-nominated musical Maybe Happy Ending.…",2025-05-28,,
afcf8a79-4edc-41b8-be26-5e589bac5f3c,ZS,There are two Gen Zs,"Supporters listen as then-candidate Donald Trump speaks during a rally at Festival Park on June 18, 2024, in Racine, Wisconsin. | Scott Olson/Getty Images
We can confidently say that Gen Z got a lot more Republican over the last couple of years, thanks to a swarm of new, first-time young voters —…",2025-05-27,,
26df685b-095c-4794-9770-a4441604c384,ZS,Jim Cramer on Zscaler (ZS): “Seems to Be So Loved These Days”,"In This Article:
We recently published a list of Jim Cramer’s Game Plan: 12 Stocks in Focus. In this article, we are going to take a look at where Zscaler, Inc. (NASDAQ:ZS) stands against other stocks that Jim Cramer discusses.
Cramer noted that Zscaler, Inc. (NASDAQ:ZS) stock is favored no matter…",2025-05-26,,
b64e95b3-7d9d-482e-95f4-7e294b63bfa0,ZS,These are the 4 big things we're watching in the stock market in the week ahead,"President Donald Trump last week increased the pressure on Apple over foreign-made iPhones in a scathing social media post that also intensified the overall stock market sell-off. In the week ahead, another great American tech giant — Club name Nvidia — will be in the spotlight. Following trade…",2025-05-26,,
5984b3e1-11dd-4d92-aade-8414f0a4db34,ZS,Investors hope Nvidia makes a statement,"To say 2025 started badly for chip giant Nvidia (NVDA) is an understatement. The shares opened the year rising to an all-time high of $153.13 on Jan. 7. 
And then DeepSeek, the Chinese artificial intelligence pricked the bubble, saying it could develop large language models for artificial…",2025-05-26,,
2aac6ca3-7f5b-4809-ad6f-62255fe5a729,ZS,What To Expect in the Markets This Week,"Key Takeaways
- Nvidia's scheduled earnings Wednesday highlight the tech financial reports calendar this week, along with quarterly updates from Salesforce, Marvell Technologies, Dell, and HP. Other noteworthy reports expected include retailers Costco, AutoZone, and Dick’s Sporting Goods.
-…",2025-05-25,,
d5230cf3-989d-482d-b25e-166990570ccd,ZS,"Nvidia, Costco, and Fed minutes: What to watch in the stock market this week","In This Article:
With the bond-market selloff spooking investors across the board, stocks finished last week in the red. The Dow, Nasdaq, and S&P 500 all fell.
Disappointing retail data kept piling up, too, with Target’s earnings portraying a sharp drop in confidence among middle and high-income…",2025-05-25,,
93372309-64c0-444f-8399-3c5eb145303f,ZS,"Nvidia Earnings, Fed Inflation Data Headline Investing Action Plan; Costco, Salesforce, Temu Parent Also Due","headlines the latest Investing Action Plan. Costco Wholesale (COST), Salesforce.com (CRM), Nutanix (NTNX), Zscaler (ZS), Okta (OKTA) and Temu parent PDD Holdings (PDD) also are tap. The Federal Reserve's favorite inflation gauge, the core PCE price index, will cap the week.
↑ X Nvidia Earnings: AI…",2025-05-23,,
07ea1e3e-0b6b-405c-bff9-3b637a26e738,ZS,How Jack Innanen Went from Social Media Star to FX's 'Adults',"Voice is AI-generated. Inconsistencies may occur.
""There is no safety net, but the safety net can be your people. That's what the show is all about.""
Everyone remembers life's growing pains right after you leave your parents' home. For Jack Innanen, part of the ensemble of the new FX series…",2025-05-23,,
8ffcd570-9ee3-48cb-9ed0-56e3e3d8faba,ZS,How Canada’s boomers stole the future,"For a country that looks so big on the map, it’s awfully hard to get houses built in Canada these days. But this is all by design: in “Canada’s Million-Dollar Housing Crisis, homes are treated as an investment vehicle rather than a place to live. Dealing with one of the worst shortages in the…",2025-05-22,,
